2025-05-06 00:00:36,935 - INFO - New day started - Logs reset for 2025-05-06
2025-05-06 00:00:39,525 - ERROR - Error checking position for GOAT/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:39,589 - ERROR - Error checking position for HIVE/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:39,651 - ERROR - Error checking position for COW/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:39,715 - ERROR - Error checking position for ZEN/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:39,776 - ERROR - Error checking position for ONDOUSDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:39,840 - ERROR - Error checking position for USUAL/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:39,900 - ERROR - Error checking position for BRETT/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:39,966 - ERROR - Error checking position for 1000PEPE/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:40,030 - ERROR - Error checking position for VANA/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:40,091 - ERROR - Error checking position for MELANIA/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:01:40,206 - ERROR - Error checking position for TIA/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:01:40,270 - ERROR - Error checking position for DOGS/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:01:40,330 - ERROR - Error checking position for BAN/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:01:40,395 - ERROR - Error checking position for BOME/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:01:40,465 - ERROR - Error checking position for ORCA/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:01:40,507 - ERROR - Error checking position for AMB/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:01:40,562 - ERROR - Error checking position for BOND/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:01:40,624 - ERROR - Error checking position for NEAR/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:01:40,688 - ERROR - Error checking position for HIPPO/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:01:40,754 - ERROR - Error checking position for BAKE/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:01:40,816 - ERROR - Error checking position for FXS/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:01:40,876 - ERROR - Error checking position for 1000PEPE/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:01:40,940 - ERROR - Error checking position for ACX/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:01:41,003 - ERROR - Error checking position for LINK/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:01:41,069 - ERROR - Error checking position for POL/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:01:41,128 - ERROR - Error checking position for MOODENG/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:01:41,191 - ERROR - Error checking position for ATOM/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:01:41,251 - ERROR - Error checking position for PHA/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:01:41,316 - ERROR - Error checking position for ORDI/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
